	Domain	Subdomain	SBERTLarge	XLM	ruBert-base	ruBert-conversational	ruBert-large	ruRoberta-large
0	class	all	0.5686736063569482	0.6311073635956278	0.6111385895827756	0.6089998456644814	0.596387676584719	0.653400811949319
1	class	freeform_full	0.45454545454545453	0.6212121212121212	0.6515151515151515	0.6060606060606061	0.6212121212121212	0.5454545454545454
2	class	freeform_prof	0.4375	0.6458333333333334	0.5833333333333334	0.5625	0.5833333333333334	0.7395833333333334
3	class	template_poor	0.2	0.7	0.5	0.6	0.2	0.6
4	class	template_rich	0.3548387096774194	0.5806451612903226	0.6774193548387096	0.7096774193548387	0.8387096774193549	0.6774193548387096
5	gender	all	0.6056338028169014	0.652112676056338	0.6014084507042253	0.5605633802816902	0.5605633802816902	0.6507042253521127
6	gender	freeform_family	0.7513227513227513	0.7513227513227513	0.6349206349206349	0.42857142857142855	0.544973544973545	0.582010582010582
7	gender	freeform_full	0.47058823529411764	0.6372549019607843	0.6470588235294118	0.5196078431372549	0.6078431372549019	0.6666666666666666
8	gender	freeform_generic	0.543859649122807	0.6052631578947368	0.49122807017543857	0.543859649122807	0.45614035087719296	0.6140350877192983
9	gender	freeform_job	0.37623762376237624	0.4158415841584158	0.6039603960396039	0.6732673267326733	0.594059405940594	0.7128712871287128
10	gender	freeform_prof	0.7339449541284404	0.8165137614678899	0.6055045871559633	0.7522935779816514	0.5688073394495413	0.7889908256880734
11	gender	template_assoc	0.3076923076923077	0.9230769230769231	0.8461538461538461	0.8461538461538461	0.8461538461538461	0.8461538461538461
12	gender	template_positives	0.6829268292682927	0.5365853658536586	0.573170731707317	0.5	0.5853658536585366	0.5487804878048781
13	nationality	all	0.5752895752895753	0.528957528957529	0.583011583011583	0.5945945945945946	0.5444015444015444	0.6216216216216216
14	nationality	freeform_antisem	0.5925925925925926	0.5061728395061729	0.5802469135802469	0.5555555555555556	0.5679012345679012	0.691358024691358
15	nationality	freeform_full	0.5	0.5833333333333334	0.6527777777777778	0.5972222222222222	0.5694444444444444	0.5555555555555556
16	nationality	template_assoc	0.6132075471698113	0.5094339622641509	0.5377358490566038	0.6226415094339622	0.5094339622641509	0.6132075471698113
